"","Doxorubicin_IC_50","Etoposide_IC_50","Gemcitabine_IC_50","Mitomycin.C_IC_50","Vinorelbine_IC_50","NSC.87877_IC_50","Bicalutamide_IC_50","QS11_IC_50","Midostaurin_IC_50","CHIR.99021_IC_50","AP.24534_IC_50","AZD6482_IC_50","JNK.9L_IC_50","PF.562271_IC_50","DMOG_IC_50","FTI.277_IC_50","OSU.03012_IC_50","Shikonin_IC_50","AKT.inhibitor.VIII_IC_50","Embelin_IC_50","FH535_IC_50","PAC.1_IC_50","IPA.3_IC_50","GSK.650394_IC_50","BAY.61.3606_IC_50","Thapsigargin_IC_50","Obatoclax.Mesylate_IC_50","BMS.754807_IC_50","OSI.906_IC_50","Bexarotene_IC_50","Bleomycin_IC_50","LFM.A13_IC_50","AUY922_IC_50","Bryostatin.1_IC_50","Pazopanib_IC_50","LAQ824_IC_50","Epothilone.B_IC_50","GSK.1904529A_IC_50","Tipifarnib_IC_50","AS601245_IC_50","AICAR_IC_50","Camptothecin_IC_50","Vinblastine_IC_50","Cisplatin_IC_50","Cytarabine_IC_50","Docetaxel_IC_50","Methotrexate_IC_50","ATRA_IC_50","Gefitinib_IC_50","ABT.263_IC_50","Vorinostat_IC_50","RDEA119_IC_50","Temsirolimus_IC_50","AZD.2281_IC_50","ABT.888_IC_50","Bosutinib_IC_50","Lenalidomide_IC_50","Axitinib_IC_50","AZD7762_IC_50","GW.441756_IC_50","CEP.701_IC_50","X17.AAG_IC_50","VX.702_IC_50","AMG.706_IC_50","KU.55933_IC_50","Elesclomol_IC_50","BIBW2992_IC_50","GDC.0449_IC_50","PLX4720_IC_50","BX.795_IC_50","NU.7441_IC_50","BIRB.0796_IC_50","JNK.Inhibitor.VIII_IC_50","Nutlin.3a_IC_50","PD.173074_IC_50","RO.3306_IC_50","NVP.BEZ235_IC_50","GDC0941_IC_50","AZD8055_IC_50","PD.0325901_IC_50","CCT007093_IC_50","EHT.1864_IC_50","BMS.708163_IC_50","PF.4708671_IC_50","JNJ.26854165_IC_50","TW.37_IC_50","AG.014699_IC_50"
"23132-87",-4.172355,-0.690371,-3.145391,-3.488925,-4.969708,6.872726,3.596395,1.803716,1.534364,4.534404,3.720214,1.647846,-0.473007,1.932827,11.082206,3.477076,2.82879,0.745881,-0.275249,3.14829,1.253861,2.76181,7.069937,2.335119,3.337629,-3.460802,-0.188218,3.773417,4.0592,5.424048,-2.029087,5.778241,-2.254966,-3.027665,5.412991,-3.125028,-5.608871,3.497546,1.902378,1.960418,8.903765,-4.47817,-4.204647,5.586716,-1.775686,-5.325733,-1.479488,6.309198,3.611568,3.649499,0.432225,1.099453,-2.251668,6.15875,6.166562,3.316331,6.343372,4.917994,-1.371432,2.933423,-0.858711,-1.563772,5.586378,3.080887,3.789559,-2.217237,3.109446,6.938244,6.753041,3.217758,2.775752,5.559417,6.345139,3.039341,5.259457,6.381358,-1.429263,-0.2487,-0.403206,0.057961,5.78165,4.902557,4.483207,4.00106,2.721687,-0.626076,6.000943
"5637",-3.446087,-0.142797,0.743357,-3.444114,-4.885953,6.764895,4.679802,1.4299,0.57336,5.451051,1.590228,4.998426,1.617203,1.073086,6.752896,3.098677,-0.029761,5.329187,5.428228,2.582463,1.981425,2.543799,6.05277,1.16524,2.469987,-4.47226,-2.480917,-0.509287,2.622918,5.421462,-3.541541,6.210027,-3.56786,-1.467005,5.586196,-3.433946,-7.356932,4.770807,0.028802,4.340671,8.67527,-5.476844,-6.957991,1.508175,-0.690183,-8.623118,-1.226426,6.12469,2.117526,1.283993,0.842123,2.112783,-0.470545,2.070477,6.309175,0.129296,6.136569,3.389197,-1.646219,5.211594,-2.500207,-2.85766,5.202273,3.695293,4.248719,-3.339342,0.014988,6.398778,2.998122,2.089273,3.941482,6.597356,5.545979,6.412843,4.908471,1.126656,-2.535373,0.997076,0.572493,2.710025,6.026836,3.394058,6.625138,4.909841,1.56789,-0.5948,2.897053
"639-V",-4.140576,0.007934,-1.644358,-6.342768,-5.019284,3.320014,4.004076,0.139562,-0.082702,5.001963,0.897644,0.489461,-1.515691,1.90973,7.329341,3.824943,-1.422128,-1.327987,2.971307,5.158433,0.476316,5.13167,3.808341,1.642985,0.356116,-7.577556,-1.858149,-0.009975,3.296742,3.389386,-1.51612,6.122163,-5.328364,-2.544382,5.748009,-3.199323,-8.430861,3.227102,0.176841,1.57601,8.147606,-6.877624,-5.352205,0.865181,-0.1242,-6.504898,2.539022,7.118872,1.085983,3.378504,0.561851,1.588194,-4.218998,2.598223,3.520059,1.974372,3.894431,0.482743,-0.5417,1.964959,1.21112,-1.644401,4.378146,2.588745,1.99889,-5.052985,1.634176,3.874075,6.816524,2.2273,0.210181,5.891891,3.019661,3.779543,1.393553,2.19408,-3.010439,-0.287659,0.477092,-4.560709,5.439736,5.225989,6.322074,4.438087,2.393634,-0.651272,5.784257
"647-V",-3.973586,-0.718797,-8.3018,-2.437398,-3.868627,7.364441,4.295224,2.962772,2.492977,5.751535,-0.383491,3.587583,-0.912725,1.726407,4.537922,1.549719,2.264999,-1.025761,1.771098,3.200428,1.127177,2.850407,7.874597,4.104004,1.98752,-4.289524,-2.262632,3.734885,4.004472,4.935556,0.550091,6.820358,-1.901011,0.006925,3.524362,-2.849163,-6.025791,3.981583,0.834885,5.082682,6.985218,-7.506556,-3.717046,4.61304,-0.148046,-5.899519,1.908535,4.89249,0.20147,4.51045,1.52285,2.884052,-1.38796,5.206664,5.99632,1.382219,6.250993,5.108423,-0.96539,4.80015,0.183011,3.670938,4.956132,5.436724,2.841409,-4.97819,2.235062,6.765099,6.842532,3.87683,2.267801,6.518363,6.70062,6.739784,4.820989,5.789843,-2.344316,1.824939,0.150126,0.176459,5.202491,2.69006,5.457379,2.514321,2.768017,-2.425567,3.973549
"697",-3.958452,-1.413875,-5.075682,-8.961372,-5.466032,6.512799,5.315078,1.200157,-0.398513,3.99186,-1.667534,1.525968,-0.987288,1.339352,5.43556,4.236408,0.527579,-0.132792,1.970946,3.758046,6.323247,-0.094015,4.995891,3.525046,-0.541497,-7.762804,-2.9331,2.026392,2.45751,5.389585,0.454861,4.651342,-3.896578,-3.556708,3.092866,-4.706255,-6.330375,3.763822,0.24912,2.147127,6.751864,-5.352375,-5.198919,2.331211,-5.238184,-5.822296,-4.027764,4.785647,4.154314,-2.093952,-0.902847,2.561588,-4.535688,1.123213,5.686726,-1.588857,4.792804,0.858777,-2.680927,2.890661,-3.86213,0.451354,3.66163,4.017134,2.073136,-4.56544,1.539189,3.576467,1.520395,-0.026393,0.966922,4.000176,5.167784,0.703687,0.4231,2.983375,-3.915279,-1.864463,-2.452533,0.737921,6.304218,2.954116,6.894967,2.943149,1.383336,-2.36671,0.416771
"786-0",-4.770984,-0.708869,-10.680093,-4.267683,-5.811758,1.720193,4.264852,0.231182,-0.747721,4.73139,-1.338346,0.272186,-1.480044,1.11771,9.701633,4.22659,-0.853474,-1.067848,0.099687,2.156649,1.36566,-0.302996,1.199377,1.081213,0.307837,-10.60564,-7.161312,-0.031449,2.881177,3.025286,-2.515225,5.247821,-5.016548,-3.642731,2.196268,-4.707303,-9.111513,2.196877,-1.074245,1.12462,6.983638,-5.294061,-4.161667,1.496287,-0.402402,-4.618301,-0.441137,5.590093,0.781186,4.799363,1.566057,0.862558,-2.962539,5.36975,4.630483,2.236473,5.447729,3.618441,-0.946155,3.924392,0.442904,-1.872032,4.218807,4.290707,4.775668,-4.352605,1.119748,6.416832,3.821004,1.696911,1.959794,6.08828,5.694329,4.614701,4.313783,3.775656,-3.803527,0.952578,0.085575,-0.87372,2.529743,2.405606,-1.134041,3.711365,0.548057,1.942195,5.628687
"8-MG-BA",-3.81113,-3.060272,-5.12769,-2.263335,-5.691491,6.079941,4.497036,1.263915,-1.618962,4.332175,-0.57882,1.921489,-2.150977,1.680972,4.834146,3.256763,0.434889,-2.45855,3.330746,1.261888,1.307636,5.442113,7.689534,2.745357,2.269857,-6.217129,-2.550906,0.702945,2.871572,2.614488,0.391727,4.417599,-3.971517,-0.715491,3.582369,-3.000733,-5.343442,4.326875,0.757878,1.30216,9.689848,-6.501008,-5.061606,1.683443,-1.076758,-7.207004,3.082169,6.474478,1.823547,5.025829,0.84975,3.535253,-0.895439,2.162159,5.1367,1.67575,5.988425,1.450813,-1.356047,4.897834,-2.087752,-2.356787,5.661445,4.60009,4.537876,-4.695065,3.609521,4.014293,1.821527,0.67164,2.621135,6.643915,6.381798,5.959614,4.685409,1.144378,-3.290027,1.586286,0.684157,0.92916,5.604593,4.26488,6.278033,6.000322,2.091196,-1.871077,1.510932
"8505C",-3.934257,-0.36708,-6.846588,-0.844364,-5.421782,7.153813,4.584259,1.519179,-1.287214,3.581557,-0.318269,4.559803,0.232171,2.534646,6.518675,3.218753,0.419454,1.131232,3.885984,2.643935,0.98058,1.483349,2.420025,2.051865,0.571238,-9.482214,-3.493371,0.307443,4.000434,3.057905,0.039199,5.508636,-4.801899,-3.302266,4.571465,-4.15771,-7.704692,3.616993,-0.841428,1.064659,7.602009,-5.804664,-5.848863,2.590215,0.94241,-6.823288,2.833716,5.030631,2.959977,1.363429,0.198092,0.836457,-2.783749,2.773823,4.991043,1.28979,6.345622,1.269953,-1.170492,3.975463,-0.833791,-0.090621,4.143611,3.854755,3.575368,-4.84413,3.184706,3.805789,3.829016,1.476377,3.281925,4.37389,5.100886,4.139882,5.394318,3.063687,-3.214476,2.142061,0.218313,-2.214206,6.422778,4.519332,6.054571,4.768899,3.612454,-1.508292,3.170584
"A101D",-2.966523,0.180757,-4.669971,-1.356913,-4.747406,6.208153,4.687344,2.65585,-0.531213,2.95715,0.511514,1.165474,-1.405219,1.685823,5.095827,1.660197,1.001618,-7.247227,3.671927,1.85095,1.514484,1.64049,5.43427,2.227055,1.583242,-5.335302,-3.488534,-0.023822,4.67541,5.703109,-0.478494,6.492662,-3.91842,-2.497247,4.513274,-3.216237,-7.063249,2.948218,0.623928,0.799601,5.968496,-5.516028,-4.687728,1.322891,0.00475,-5.156745,1.244383,4.03344,1.428544,2.13838,0.108349,-0.450368,-2.62707,1.979636,1.831242,1.03247,4.006487,1.599112,-0.588949,3.276928,-0.960821,-0.471601,0.999674,4.256395,3.136968,-4.020904,3.194623,2.551125,-0.303503,1.239986,2.128275,6.494049,6.257793,1.271923,1.64531,3.600064,-3.748916,-0.129152,-0.739479,-3.700658,6.222893,6.014427,5.218955,6.360256,3.478461,-2.436069,5.493372
"A2058",-4.036871,-0.854801,-3.416508,-2.161989,-5.654126,7.499602,4.617142,2.32794,-0.637826,4.558725,2.935214,3.010691,-0.693019,1.668532,5.109076,4.322782,0.529264,-0.084342,4.64367,0.842366,0.706304,5.80819,5.286667,2.602345,3.594529,-5.917937,-2.23911,1.660648,3.90174,5.66826,-0.213592,7.065624,-3.530567,-2.343119,2.824376,-2.569652,-7.417212,4.732589,2.469031,2.388688,8.09721,-6.393922,-6.245412,1.385585,-1.724538,-7.297327,0.686994,3.45425,2.513639,2.554748,1.621185,1.335755,-3.073757,3.065617,4.584902,2.757311,3.889095,4.878772,-0.890515,4.371984,-0.208563,-3.137643,4.263841,4.001428,4.838729,-3.602781,3.521789,5.942466,2.750706,1.091399,2.384291,5.37509,5.53663,5.091578,3.572516,5.846922,-3.403837,2.74495,-0.026755,-0.772246,5.284422,4.438735,6.093411,6.755432,3.020951,-1.002647,3.703023
