"","X17.AAG","GSK.1904529A","Bosutinib","RDEA119","Nutlin.3a","PD.0325901","Epothilone.B"
"1",-1.563772,3.497546,3.316331,1.099453,3.039341,0.057961,-5.608871
"2",-2.85766,4.770807,0.129296,2.112783,6.412843,2.710025,-7.356932
"3",-1.644401,3.227102,1.974372,1.588194,3.779543,-4.560709,-8.430861
"4",3.670938,3.981583,1.382219,2.884052,6.739784,0.176459,-6.025791
"5",0.451354,3.763822,-1.588857,2.561588,0.703687,0.737921,-6.330375
"6",-1.872032,2.196877,2.236473,0.862558,4.614701,-0.87372,-9.111513
"7",-2.356787,4.326875,1.67575,3.535253,5.959614,0.92916,-5.343442
"8",-0.090621,3.616993,1.28979,0.836457,4.139882,-2.214206,-7.704692
"9",-0.471601,2.948218,1.03247,-0.450368,1.271923,-3.700658,-7.063249
"10",-3.137643,4.732589,2.757311,1.335755,5.091578,-0.772246,-7.417212
"11",-1.199554,3.11081,2.653229,1.267233,6.681148,-0.570203,-4.574299
"12",-2.032146,3.860428,4.406567,2.822366,5.20682,2.170707,-6.170478
"13",2.339257,4.758907,4.095641,5.110788,1.824519,1.900777,-5.106587
"14",-1.510702,4.091236,-1.013995,-2.546469,0.592602,-6.463893,-9.904015
"15",4.250235,3.922293,-0.452882,-0.019779,3.619221,-1.169789,-6.821983
"16",-0.86796,4.482982,1.241627,1.495318,1.92837,-0.568177,-7.096816
"17",-2.499837,3.907534,0.862994,1.071346,6.094732,-0.433818,-11.526967
"18",-2.284787,3.476334,0.337281,3.572085,4.233689,-1.505711,-2.791951
"19",3.847032,3.864086,1.442989,5.103064,3.991247,-2.095406,-6.391757
"20",-0.501389,2.863805,-0.614906,3.871946,4.657102,-0.061945,-7.197314
"21",-3.179132,4.281465,5.297628,-2.732477,5.049487,-4.150353,-6.842258
"22",-4.073305,4.47577,2.960856,-1.821348,0.888611,-4.691281,-5.961259
"23",-0.111275,1.694021,1.103618,1.162828,1.753753,-0.644475,-6.523111
"24",-1.567929,4.945037,4.859948,2.419895,1.910488,0.339665,-4.884299
"25",-2.995755,3.235531,4.947312,4.035875,5.389788,0.522153,-7.701318
"26",3.082277,5.353743,4.728205,5.112973,5.388876,3.085867,-5.094562
"27",2.235607,4.734694,-0.173931,5.494758,4.241601,2.985316,-5.664977
"28",-1.882262,3.882488,2.678556,0.069033,3.587752,-3.094898,-1.940204
"29",-3.159443,3.272464,-1.011832,-0.510459,2.761201,-3.753877,-8.513443
"30",-3.159846,1.93464,5.088027,1.803278,4.117277,-0.451329,-1.917843
"31",-2.248699,4.180024,0.64106,1.296489,6.178993,-0.810448,-7.368875
"32",-0.777776,2.026864,5.205554,6.331366,2.50419,3.668644,-6.21799
"33",-1.667504,4.010828,4.610543,0.779549,5.184551,-2.000666,-7.45029
"34",3.558314,3.843254,-1.260711,3.701146,3.288892,3.009285,-4.920432
"35",2.472411,3.16964,2.463022,5.408563,2.807222,1.205197,-3.883699
"36",-1.154515,3.321293,2.861242,-0.330239,5.990027,-2.046666,-9.904733
"37",-2.529662,4.558625,3.232979,5.217235,5.844918,2.668358,-6.465027
